Year,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela_RB
1990,0,0,19.6463430965049,0,74.9998416310372,8.51659203032212,12.0017042420024,0,0,0,6.63573640406867,12.4779278368246
1991,0,0,18.5523881422863,0,85.8773343009539,10.7733041261241,25.673220023507,0,0,0,6.21326188722705,12.3221512683443
1992,0,0,16.8315196406125,0,83.4819991124854,8.55433754089328,14.0016615305016,0,0,0,5.79672940246071,15.7163186203055
1993,0,0,17.865892961495,0,82.5777689589525,8.30175052181792,15.5385811681693,0,0,0,0,20.1933513390716
1994,0,0,18.7432334815665,0,77.0879503653693,10.0156548466405,14.2890880981819,0,0,0,0,21.7857723486674
1995,0,0,21.0220886836161,0,62.3410428739553,11.8383919002488,14.3725997593578,0,0,0,5.98851208989666,20.1903047742501
1996,0,0,23.6865994083929,0,64.0379653259786,12.3838470232859,11.5709390605975,0,0,0,6.39361461910898,21.8911625760581
1997,0,0,24.3049302659348,0,62.4980646140821,10.9429833738619,11.4136605774132,0,0,0,7.5387524450532,18.2649898123507
1998,0,0,24.7990574348239,0,61.0946739886429,13.409254126692,14.7986047403991,0,0,0,7.53253925757256,19.2785692454324
1999,0,0,25.0021056965213,0,63.3339923743845,13.4875122235591,11.9034694035054,0,0,0,6.63795240065697,24.8227901468482
2000,0,0,26.0748466246634,0,67.8921586309151,14.4453488439446,9.93682272708255,19.5064839944888,0,14.2664425995976,6.55194336304211,32.7072022874003
2001,8.31631763979875,0,27.2006084949971,0,70.1095871523678,12.8420209514706,10.4646637736232,25.3291976446545,0,16.236452068041,6.65801023531638,31.8655925319861
2002,9.38748649102565,0,27.848196026942,0,70.3960948977152,14.5070142098716,18.7258070429986,26.0770664744718,0,11.4791718482373,7.04511757340532,37.8091067461912
2003,7.72167974407433,0,28.2710884352715,3.20129769251024,57.4608630160922,0,27.3882307923651,24.1249473264161,0,11.8480019825657,6.00392662896892,43.8038461298566
2004,6.02330247756233,0,26.4918363852054,0,48.6481875848116,0,17.1821756569231,22.4380260884275,0,8.95075721460219,6.09171534327958,36.8970797360357
2005,5.6047423259877,0,25.7693915381983,3.52319921168418,42.9894132012747,0,18.6617672956471,16.2809142348236,0,13.2867974485498,5.78250888452056,37.1988094364987
2006,5.32783270151026,0,26.3403064568888,3.57376612166027,40.9429758324124,0,20.158992524703,13.4782946324326,0,11.8095912929026,6.14073873999033,45.0216395516922
2007,5.34525993519266,0,25.3144591379199,3.6949106294991,39.7776140409658,15.8631866106051,15.1943455894448,14.0842878975945,0,8.47432092441659,5.88743616570098,47.5815663456695
2008,5.86530605419315,0,26.3359303856077,3.4918963063576,36.8840024517578,17.886543943386,20.9380650710006,14.8390325698951,0,8.00378970135627,6.69255362560008,52.0038429160992
2009,6.46679948327286,0,26.7914479705158,3.70376238471268,35.7272410703666,17.705436773059,15.5565660675394,14.4765607993953,0,0,6.82760685431307,49.1766420057909
2010,5.7739778082346,0,26.9945684769237,3.14874215608169,34.5241750628259,17.4043449177688,18.6851899182723,12.9139714270104,0,0,6.17734091087152,45.3960162080437
2011,6.01715853502966,0,26.7470983503833,3.66532251337043,35.6322084408409,15.2875203821371,17.4227001700724,11.2990930113132,5.5180019181967,0,5.98168012770136,48.3052863947894
2012,6.28057846262278,0,28.6413621085766,2.47729352143792,35.9613009153726,12.3425125579607,18.6255047478288,11.0055811353826,6.65981599009637,0,8.00503447711385,54.3821288251794
2013,7.2142387373598,0,28.6404106359245,3.14355060592079,33.4159707994424,10.9127986726241,20.6660742392051,10.0962064841382,6.75097413739705,5.09648167024006,7.77201220684194,0
2014,7.50277667235654,0,29.8537931807395,2.4518317226161,28.654305199833,8.16956550602398,19.7552732658118,9.52253702792393,6.89338555748064,5.56160959933817,7.98490138572303,62.9006092038036
2015,6.52528743235621,4.92977342561603,28.8503019791216,2.32163505387454,27.2152782480106,6.45509329915208,19.6367594865976,10.0176925113933,7.37746900609372,5.84567085090617,8.69948102993542,51.2004132142202
2016,5.97945616037571,5.74238712195448,30.1193623667804,3.39405749254204,26.1438669043183,5.81031174018927,18.5973900789472,10.7054970567084,7.88881315592262,6.97567191883721,7.90108434244779,56.5792047678519
2017,5.23155985787317,6.58463782839173,31.1611756216413,4.19745439747334,25.5510587151196,5.78775543057783,14.9646346644701,8.53492626715061,7.9394377010568,6.06353574875403,8.35193212210643,47.9792075487112
2018,5.33872203870925,4.98767505522938,27.1606152370358,4.36665251518391,23.8207594532571,5.8300670929869,14.0230217590554,7.73254240471022,7.68710269227761,6.33848335105607,12.4022914485464,0
2019,5.13191495105041,4.25827764835632,21.2445602088385,4.81306553520039,23.3990612924966,6.84543557226847,16.8386645453251,8.50337786708883,7.3499267457301,4.95239101438174,11.5977676357818,41.0324133949647
