Year,TotalPredictedMigration,TotalGDP,AvgUnemployment,AvgHomicide,AvgSchoolYears,NumCountries
2015,-163099.999999995,94961.4146640642,6.28854545454545,11.6249493020961,8.80178156854545,11
2016,-82783.9999999833,90616.4929781526,6.66081818181818,11.7507180308203,8.89766468209091,11
2017,-2467.99999996632,99813.3472522527,7.39690909090909,11.3061916686014,9.03218426309091,11
2018,77848.0000000545,98535.5662568431,7.64018181818182,10.8807211861862,9.15786192672727,11
2019,158164.000000078,93872.4378055949,7.72236363636364,10.4485857287744,9.27905104118182,11
