Country,Year,PredictedNetMigration,GDP,SchoolYears,Unemployment,Homicide,GDPgrowth
ARGENTINA,2015,6312.99999999999,13679.6264980954,10.92000008,7.268,6.52528743235621,0.118242868511183
ARGENTINA,2016,6831.99999999996,12699.9623137756,10.93000031,7.579,5.97945616037571,-0.0716148342541514
ARGENTINA,2017,7350.99999999991,14532.5009308511,11.01500034,8.085,5.23155985787317,0.144294807480472
ARGENTINA,2018,7869.99999999983,11752.7998922979,11.10000038,8.347,5.33872203870925,-0.19127478826801
ARGENTINA,2019,8388.99999999972,9955.97478680428,11.12000036,9.22,5.13191495105041,-0.152884854839667
BOLIVIA,2015,-10572.9999999999,2996.01289811344,8.930000305,2.021,4.92977342561603,-0.0149344414851384
BOLIVIA,2016,-10174.9999999998,3035.87347732132,9.162500143,3.111,5.74238712195448,0.0133045419240284
BOLIVIA,2017,-9776.99999999967,3306.30301224425,9.394999981,3.498,6.58463782839173,0.0890779991139623
BOLIVIA,2018,-9378.99999999947,3500.72642189887,9.627499819,3.655,4.98767505522938,0.0588038691355905
BOLIVIA,2019,-8980.99999999919,3503.89601123129,9.859999657,3.519,4.25827764835632,0.000905409035276939
BRAZIL,2015,-134236,8936.19661712113,7.510000229,6.755,28.8503019791216,-0.271999917903381
BRAZIL,2016,-122740,8836.28652735657,7.730000019,8.538,30.1193623667804,-0.0111803817714954
BRAZIL,2017,-111244,10080.5092819305,7.849999905,11.58,31.1611756216413,0.140808330594747
BRAZIL,2018,-99748.0000000007,9300.66164923219,7.980000019,12.792,27.1606152370358,-0.0773619279430852
BRAZIL,2019,-88252.0000000011,9029.83326681073,8.125777988,12.329,21.2445602088385,-0.0291192597511401
CHILE,2015,68875,13433.9202987032,10.26000023,6.483,2.32163505387454,-0.0754150586416225
CHILE,2016,85047.9999999999,13649.8520452803,10.42500019,6.313,3.39405749254204,0.0160736212345956
CHILE,2017,101221,14879.9086227187,10.59000015,6.673,4.19745439747334,0.0901150117494288
CHILE,2018,117394,15659.4808675628,10.76107344,7.257,4.36665251518391,0.0523909295823125
CHILE,2019,133567.000000001,14495.716721687,10.93491029,7.623,4.81306553520039,-0.0743169046099371
COLOMBIA,2015,-70255,6248.51490534512,8.050000191,8.799,27.2152782480106,-0.236795411160574
COLOMBIA,2016,-72987.9999999999,5959.84250367574,8.220000267,8.572,26.1438669043183,-0.0461985617450385
COLOMBIA,2017,-75720.9999999998,6479.53231292429,8.360000134,8.922,25.5510587151196,0.0871985809906941
COLOMBIA,2018,-78453.9999999997,6816.96818309544,8.5,9.086,23.8207594532571,0.0520771953707352
COLOMBIA,2019,-81186.9999999994,6472.54544924705,8.640000343,9.36,23.3990612924966,-0.0505243276186152
ECUADOR,2015,10728.0000000001,5976.1596805651,8.699999809,3.48,6.45509329915208,-0.0670704871089646
ECUADOR,2016,19183.0000000003,5917.63771271481,8.68999958,3.616,5.81031174018927,-0.00979257097841739
ECUADOR,2017,27638.0000000007,6233.32244797718,8.770000458,4.597,5.78775543057783,0.0533464112857197
ECUADOR,2018,36093.0000000013,6303.91886658338,8.78666687,3.836,5.8300670929869,0.0113256484315375
ECUADOR,2019,44548.000000002,6205.05765246766,8.803333282,3.53,6.84543557226847,-0.0156825010296018
GUYANA,2015,-6513.00000000008,5640.41560569466,7.984841964,12.639,19.6367594865976,0.0306480827893115
GUYANA,2016,-6316.00000000027,5870.87823759835,8.128291354,13.004,18.5973900789472,0.0408591579086851
GUYANA,2017,-6119.00000000063,6178.6650437298,8.271740745,13.257,14.9646346644701,0.0524260244677395
GUYANA,2018,-5922.00000000107,6048.38697180418,8.415190136,13.462,14.0230217590554,-0.0210851488150873
GUYANA,2019,-5725.00000000173,6405.82443444562,8.558639526,13.627,16.8386645453251,0.0590963283777492
PARAGUAY,2015,-16745.9999999999,5879.33792308671,8.520000458,5.034,10.0176925113933,-0.116188704552498
PARAGUAY,2016,-16502.9999999998,5775.1596339946,8.350000381,4.556,10.7054970567084,-0.0177193912741481
PARAGUAY,2017,-16259.9999999995,6152.26711537703,8.470000267,5.255,8.53492626715061,0.0652981917872268
PARAGUAY,2018,-16016.9999999991,6258.44991640954,8.590000153,6.138,7.73254240471022,0.0172591337536557
PARAGUAY,2019,-15773.9999999984,5821.18199548637,8.81000042,6.217,8.50337786708883,-0.0698684061969819
PERU,2015,-5551.99999999537,6231.71150338894,9.090000153,3.208,7.37746900609372,-0.0653088108703251
PERU,2016,39279.0000000164,6217.03599995447,9.313333511,3.272,7.88881315592262,-0.00235497157185305
PERU,2017,84110.0000000331,6736.16693725487,9.53666687,3.741,7.9394377010568,0.0835013561613931
PERU,2018,128941.000000053,6978.49121548627,9.760000229,3.691,7.68710269227761,0.03597361533474
PERU,2019,173772.000000076,7037.00803692604,9.889816364,3.492,7.3499267457301,0.0083853113277427
SURINAME,2015,-949.999999999997,8813.61705392067,8.184753759,6.94,5.84567085090617,-0.0323414455275734
SURINAME,2016,-940.99999999998,5644.2061057532,8.225185939,7.22,6.97567191883721,-0.359603886665076
SURINAME,2017,-931.999999999968,6049.52128553675,8.26561812,7.917,6.06353574875403,0.0718108396804305
SURINAME,2018,-922.999999999958,6665.74180472239,8.306050301,7.888,6.33848335105607,0.101862691294087
SURINAME,2019,-913.99999999995,6629.66775248603,8.347083681,7.693,4.95239101438174,-0.0054118586187667
URUGUAY,2015,-4191.00000000001,17125.9016800298,8.670000076,6.547,8.69948102993542,-0.0653039006510285
URUGUAY,2016,-3463.00000000003,17009.7584207276,8.699999809,7.488,7.90108434244779,-0.00678173105697743
URUGUAY,2017,-2735.0000000001,19184.6502617082,8.829999924,7.841,8.35193212210643,0.127861418556676
URUGUAY,2018,-2007.00000000017,19249.9404677501,8.909999847,7.89,12.4022914485464,0.00340325234764466
URUGUAY,2019,-1279.00000000025,18315.7316980028,8.979999542,8.336,11.5977676357818,-0.0485304757857513
VENEZUELA,2015,-60505.0000000001,15943.6127197163,9.640000343,7.54,51.2004132142202,0.285449016350739
VENEZUELA,2016,-63192.0000000003,19484.0787436744,10.31000042,6.821,56.5792047678519,0.222061717516499
VENEZUELA,2017,-65879.0000000006,23024.5447676325,10.13614271,6.137,47.9792075487112,0.181710722407521
VENEZUELA,2018,-68566.0000000008,26565.0107915906,9.962285008,5.319,0,0.15376920845511
VENEZUELA,2019,-71253.000000001,30105.4768155487,9.820335191,5.045,41.0324133949647,0.133275534940828
